asset_id,entity_id,asset_name,asset_type,criticality,business_function,monitoring_expected
E005-AS001,E005,SCADA-Control-Server-1,SERVER,HIGH,Grid Operations,True
E005-AS002,E005,ICS-Endpoint-2,SERVER,HIGH,Grid Operations,True
E005-AS003,E005,Smart-Grid-Gateway-3,SERVER,HIGH,Grid Operations,True
E005-AS004,E005,SCADA-Control-Server-4,SERVER,CRITICAL,Grid Operations,True
E005-AS005,E005,Substation-Firewall-5,SERVER,CRITICAL,Grid Operations,True
E005-AS006,E005,Substation-Firewall-6,SERVER,CRITICAL,Grid Operations,True
E005-AS007,E005,Smart-Grid-Gateway-7,SERVER,HIGH,Grid Operations,True
E005-AS008,E005,SCADA-Control-Server-8,SERVER,CRITICAL,Grid Operations,True
E005-AS009,E005,SCADA-Control-Server-9,SERVER,HIGH,Grid Operations,True
E005-AS010,E005,SCADA-Control-Server-10,SERVER,CRITICAL,Grid Operations,True
E005-AS011,E005,Substation-Firewall-11,SERVER,CRITICAL,Grid Operations,True
E005-AS012,E005,ICS-Endpoint-12,SERVER,HIGH,Grid Operations,True
E005-AS013,E005,Smart-Grid-Gateway-13,SERVER,CRITICAL,Grid Operations,True
E005-AS014,E005,SCADA-Control-Server-14,SERVER,CRITICAL,Grid Operations,True
E005-AS015,E005,Smart-Grid-Gateway-15,SERVER,CRITICAL,Grid Operations,True
E005-AS016,E005,Substation-Firewall-16,SERVER,CRITICAL,Grid Operations,True
E005-AS017,E005,SCADA-Control-Server-17,SERVER,CRITICAL,Grid Operations,True
E005-AS018,E005,Substation-Firewall-18,SERVER,CRITICAL,Grid Operations,True
E005-AS019,E005,ICS-Endpoint-19,SERVER,HIGH,Grid Operations,True
E005-AS020,E005,SCADA-Control-Server-20,SERVER,HIGH,Grid Operations,True
E005-AS021,E005,Substation-Firewall-21,SERVER,CRITICAL,Grid Operations,True
E005-AS022,E005,ICS-Endpoint-22,SERVER,CRITICAL,Grid Operations,True
E005-AS023,E005,SCADA-Control-Server-23,SERVER,CRITICAL,Grid Operations,True
E005-AS024,E005,Substation-Firewall-24,SERVER,CRITICAL,Grid Operations,True
E005-AS025,E005,Smart-Grid-Gateway-25,SERVER,CRITICAL,Grid Operations,True
E005-AS026,E005,Substation-Firewall-26,SERVER,CRITICAL,Grid Operations,True
E005-AS027,E005,SCADA-Control-Server-27,SERVER,HIGH,Grid Operations,True
E005-AS028,E005,Substation-Firewall-28,SERVER,CRITICAL,Grid Operations,True
E005-AS029,E005,ICS-Endpoint-29,SERVER,CRITICAL,Grid Operations,True
E005-AS030,E005,ICS-Endpoint-30,SERVER,HIGH,Grid Operations,True
